#Daily and Multi-day air quality monitoring data
#Measured data - All Data are GMT hour ending
#Data for year 2016
#"Multi-day data",,
#London Westminster,,
Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
03/04/2018,30/04/2018,0.789,V ngm-3,0.1326,V ngm-3,0.135,V ngm-3,2.7,V ngm-3,14.4,V ngm-3,527.6,V ngm-3,,,7.994,V ngm-3,1.089,V ngm-3,7.35,V ngm-3,0.54,V ngm-3,1.151,V ngm-3,25.68,V ngm-3,
24/04/2018,22/05/2018,,,,,,,,,,,,,2.014,V ngm-3,,,,,,,,,,,,,
30/04/2018,29/05/2018,1.021,V ngm-3,0.1581,V ngm-3,0.159,V ngm-3,4,V ngm-3,17.7,V ngm-3,659.1,V ngm-3,,,8.708,V ngm-3,1.235,V ngm-3,8.68,V ngm-3,0.81,V ngm-3,1.403,V ngm-3,25.31,V ngm-3,
22/05/2018,23/06/2018,,,,,,,,,,,,,1.703,V ngm-3,,,,,,,,,,,,,
29/05/2018,28/06/2018,0.662,V ngm-3,0.0965,V ngm-3,0.141,V ngm-3,3.5,V ngm-3,15.12,V ngm-3,533.7,V ngm-3,,,6.72,V ngm-3,1.166,V ngm-3,6.1,V ngm-3,0.6,V ngm-3,1.189,V ngm-3,17.76,V ngm-3,
23/06/2018,18/07/2018,,,,,,,,,,,,,1.157,V ngm-3,,,,,,,,,,,,,
28/06/2018,26/07/2018,0.602,V ngm-3,0.1322,V ngm-3,0.232,V ngm-3,3.3,V ngm-3,16.96,V ngm-3,660.2,V ngm-3,,,9.926,V ngm-3,1.44,V ngm-3,6.31,V ngm-3,0.71,V ngm-3,1.812,V ngm-3,26.13,V ngm-3,
18/07/2018,14/08/2018,,,,,,,,,,,,,6.319,V ngm-3,,,,,,,,,,,,,
26/07/2018,21/08/2018,0.544,V ngm-3,0.0833,V ngm-3,0.124,V ngm-3,2.6,V ngm-3,11.88,V ngm-3,420,V ngm-3,,,5.373,V ngm-3,0.729,V ngm-3,3.63,V ngm-3,0.47,V ngm-3,1.021,V ngm-3,12.08,V ngm-3,
21/08/2018,18/09/2018,0.666,V ngm-3,0.1088,V ngm-3,0.095,V ngm-3,2.9,V ngm-3,14.33,V ngm-3,481.9,V ngm-3,,,6.225,V ngm-3,0.75,V ngm-3,4.89,V ngm-3,0.45,V ngm-3,0.782,V ngm-3,17.81,V ngm-3,
18/09/2018,16/10/2018,0.76,V ngm-3,0.1004,V ngm-3,0.105,V ngm-3,2.9,V ngm-3,15.92,V ngm-3,517.6,V ngm-3,,,6.102,V ngm-3,0.772,V ngm-3,6.83,V ngm-3,0.43,V ngm-3,0.723,V ngm-3,26.42,V ngm-3,
16/10/2018,13/11/2018,1.325,V ngm-3,0.1787,V ngm-3,0.116,V ngm-3,3.2,V ngm-3,24.5,V ngm-3,618.1,V ngm-3,,,6.931,V ngm-3,0.946,V ngm-3,8.75,V ngm-3,0.55,V ngm-3,0.638,V ngm-3,30.59,V ngm-3,
13/11/2018,11/12/2018,0.915,V ngm-3,0.1469,V ngm-3,0.098,V ngm-3,2.8,V ngm-3,16.14,V ngm-3,495.9,V ngm-3,,,6.507,V ngm-3,1.056,V ngm-3,7.7,V ngm-3,0.48,V ngm-3,0.604,V ngm-3,34.34,V ngm-3,
11/12/2018,31/12/2018,1.014,V ngm-3,0.1493,V ngm-3,0.089,V ngm-3,2.6,V ngm-3,15.53,V ngm-3,507.2,V ngm-3,,,6.016,V ngm-3,0.712,V ngm-3,6.44,V ngm-3,0.48,V ngm-3,0.547,V ngm-3,20.32,V ngm-3,
#Data for year 2019
#"Multi-day data",,
#London Westminster,,
#Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
01/01/2019,09/01/2019,0.968,V ngm-3,0.1426,V ngm-3,0.085,V ngm-3,2.5,V ngm-3,14.83,V ngm-3,484.2,V ngm-3,,,5.744,V ngm-3,0.68,V ngm-3,6.15,V ngm-3,0.46,V ngm-3,0.522,V ngm-3,19.4,V ngm-3,
09/01/2019,07/02/2019,1.291,V ngm-3,0.1752,V ngm-3,0.094,V ngm-3,2.6,V ngm-3,16.16,V ngm-3,509.3,V ngm-3,,,6.391,V ngm-3,0.787,V ngm-3,10.04,V ngm-3,0.45,V ngm-3,0.457,V ngm-3,26.28,V ngm-3,
07/02/2019,07/03/2019,1.333,V ngm-3,0.2269,V ngm-3,0.189,V ngm-3,3.9,V ngm-3,21.6,V ngm-3,805.8,V ngm-3,,,14.244,V ngm-3,2.001,V ngm-3,10.98,V ngm-3,0.7,V ngm-3,1.815,V ngm-3,41.7,V ngm-3,
07/03/2019,04/04/2019,0.808,V ngm-3,0.1081,V ngm-3,0.085,V ngm-3,2.4,V ngm-3,12.95,V ngm-3,443.5,V ngm-3,,,5.923,V ngm-3,0.668,V ngm-3,6.27,V ngm-3,0.37,V ngm-3,0.648,V ngm-3,21.36,V ngm-3,
04/04/2019,03/05/2019,1.151,V ngm-3,0.1959,V ngm-3,0.143,V ngm-3,2.9,V ngm-3,16.09,V ngm-3,572.5,V ngm-3,,,9.103,V ngm-3,1.196,V ngm-3,8.07,V ngm-3,0.64,V ngm-3,1.177,V ngm-3,30.28,V ngm-3,
03/05/2019,30/05/2019,0.735,V ngm-3,0.107,V ngm-3,0.095,V ngm-3,1.8,V ngm-3,12.19,V ngm-3,458,V ngm-3,,,5.179,V ngm-3,0.799,V ngm-3,4.57,V ngm-3,0.42,V ngm-3,0.824,V ngm-3,15.26,V ngm-3,
30/05/2019,27/06/2019,0.604,V ngm-3,0.0783,V ngm-3,0.075,V ngm-3,1.2,V ngm-3,10.13,V ngm-3,326.9,V ngm-3,,,4.191,V ngm-3,0.797,V ngm-3,3.8,V ngm-3,0.38,V ngm-3,0.848,V ngm-3,14.02,V ngm-3,
27/06/2019,25/07/2019,0.598,V ngm-3,0.101,V ngm-3,0.11,V ngm-3,3.3,V ngm-3,13.29,V ngm-3,501.4,V ngm-3,,,6.67,V ngm-3,0.924,V ngm-3,4.82,V ngm-3,0.47,V ngm-3,1.128,V ngm-3,15.54,V ngm-3,
25/07/2019,22/08/2019,0.468,V ngm-3,0.0576,V ngm-3,0.063,V ngm-3,2,V ngm-3,9.6,V ngm-3,340.9,V ngm-3,,,4.17,V ngm-3,0.602,V ngm-3,3.22,V ngm-3,0.38,V ngm-3,0.753,V ngm-3,10.21,V ngm-3,
22/08/2019,18/09/2019,0.766,V ngm-3,0.1419,V ngm-3,0.147,V ngm-3,3.1,V ngm-3,14.9,V ngm-3,509.6,V ngm-3,,,6.416,V ngm-3,0.889,V ngm-3,5.8,V ngm-3,0.47,V ngm-3,0.985,V ngm-3,17.1,V ngm-3,
18/09/2019,17/10/2019,0.605,V ngm-3,0.0835,V ngm-3,0.075,V ngm-3,2,V ngm-3,12.83,V ngm-3,409.8,V ngm-3,,,5.34,V ngm-3,0.696,V ngm-3,4.6,V ngm-3,0.37,V ngm-3,0.606,V ngm-3,17.62,V ngm-3,
17/10/2019,14/11/2019,1.327,V ngm-3,0.1954,V ngm-3,0.113,V ngm-3,3.7,V ngm-3,29.49,V ngm-3,616.4,V ngm-3,,,7.315,V ngm-3,0.919,V ngm-3,5.12,V ngm-3,0.54,V ngm-3,0.697,V ngm-3,29.17,V ngm-3,
14/11/2019,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2019,31/12/2019,0.602,V ngm-3,0.0923,V ngm-3,0.049,V ngm-3,1.2,V ngm-3,10.16,V ngm-3,308.9,V ngm-3,,,3.381,V ngm-3,0.43,V ngm-3,3.44,V ngm-3,0.25,V ngm-3,0.48,V ngm-3,10.49,V ngm-3,
#Data for year 2020
#"Multi-day data",,
#London Westminster,,
#Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
01/01/2020,09/01/2020,0.613,V ngm-3,0.094,V ngm-3,0.05,V ngm-3,1.2,V ngm-3,10.35,V ngm-3,314.5,V ngm-3,,,3.443,V ngm-3,0.438,V ngm-3,3.5,V ngm-3,0.25,V ngm-3,0.489,V ngm-3,10.69,V ngm-3,
09/01/2020,06/02/2020,0.937,V ngm-3,0.148,V ngm-3,0.079,V ngm-3,1.6,V ngm-3,12.62,V ngm-3,454.7,V ngm-3,,,4.89,V ngm-3,0.527,V ngm-3,6.76,V ngm-3,0.34,V ngm-3,0.417,V ngm-3,16.55,V ngm-3,
06/02/2020,05/03/2020,0.424,V ngm-3,0.0721,V ngm-3,0.1,V ngm-3,1.3,V ngm-3,8.86,V ngm-3,341.9,V ngm-3,,,4.089,V ngm-3,0.566,V ngm-3,3.02,V ngm-3,0.29,V ngm-3,0.431,V ngm-3,11.95,V ngm-3,
05/03/2020,02/04/2020,0.625,V ngm-3,0.1108,V ngm-3,0.071,V ngm-3,1.4,V ngm-3,7.74,V ngm-3,302.4,V ngm-3,,,4.9,V ngm-3,0.599,V ngm-3,4.51,V ngm-3,0.36,V ngm-3,0.685,V ngm-3,16.36,V ngm-3,
02/04/2020,01/05/2020,0.978,V ngm-3,0.1461,V ngm-3,0.11,V ngm-3,1.7,V ngm-3,7.38,V ngm-3,356.2,V ngm-3,,,6.71,V ngm-3,0.914,V ngm-3,5.23,V ngm-3,0.57,V ngm-3,1.788,V ngm-3,17.26,V ngm-3,
01/05/2020,28/05/2020,0.73,V ngm-3,0.1509,V ngm-3,0.085,V ngm-3,1.4,V ngm-3,7.41,V ngm-3,293.6,V ngm-3,,,4.82,V ngm-3,0.559,V ngm-3,4.45,V ngm-3,0.48,V ngm-3,0.898,V ngm-3,14.88,V ngm-3,
28/05/2020,25/06/2020,0.556,V ngm-3,0.0911,V ngm-3,0.104,V ngm-3,1.3,V ngm-3,7.85,V ngm-3,315.9,V ngm-3,,,5.258,V ngm-3,0.811,V ngm-3,3.93,V ngm-3,0.47,V ngm-3,1.054,V ngm-3,16.16,V ngm-3,
25/06/2020,23/07/2020,0.519,V ngm-3,0.0696,V ngm-3,0.065,V ngm-3,0.9,V ngm-3,7.06,V ngm-3,268.6,V ngm-3,,,3.695,V ngm-3,0.466,V ngm-3,3.42,V ngm-3,0.34,V ngm-3,0.666,V ngm-3,12.46,V ngm-3,
23/07/2020,20/08/2020,0.68,V ngm-3,0.1091,V ngm-3,0.104,V ngm-3,1.8,V ngm-3,10.79,V ngm-3,431.7,V ngm-3,,,7.032,V ngm-3,0.997,V ngm-3,4.45,V ngm-3,0.63,V ngm-3,1.584,V ngm-3,16.08,V ngm-3,
20/08/2020,18/09/2020,0.63,V ngm-3,0.1248,V ngm-3,0.121,V ngm-3,1.8,V ngm-3,10.38,V ngm-3,383.8,V ngm-3,,,4.801,V ngm-3,0.609,V ngm-3,4.74,V ngm-3,0.44,V ngm-3,0.841,V ngm-3,14.75,V ngm-3,
18/09/2020,15/10/2020,0.946,V ngm-3,0.1077,V ngm-3,0.086,V ngm-3,2.5,V ngm-3,11.92,V ngm-3,440,V ngm-3,,,5.616,V ngm-3,0.657,V ngm-3,5.46,V ngm-3,0.45,V ngm-3,0.762,V ngm-3,17.15,V ngm-3,
15/10/2020,12/11/2020,1.476,V ngm-3,0.2054,V ngm-3,0.084,V ngm-3,2.3,V ngm-3,21.27,V ngm-3,392.9,V ngm-3,,,5.779,V ngm-3,0.802,V ngm-3,5.32,V ngm-3,0.46,V ngm-3,1.112,V ngm-3,27.49,V ngm-3,
12/11/2020,10/12/2020,1.141,V ngm-3,0.1732,V ngm-3,0.078,V ngm-3,2.1,V ngm-3,12,V ngm-3,411.4,V ngm-3,,,5.209,V ngm-3,0.69,V ngm-3,7.45,V ngm-3,0.51,V ngm-3,0.706,V ngm-3,21.75,V ngm-3,
10/12/2020,31/12/2020,0.699,V ngm-3,0.0758,V ngm-3,0.035,V ngm-3,1.1,V ngm-3,7.28,V ngm-3,209.3,V ngm-3,,,2.915,V ngm-3,0.326,V ngm-3,3.43,V ngm-3,0.28,V ngm-3,0.414,V ngm-3,7.82,V ngm-3,
#Data for year 2021
#"Multi-day data",,
#London Westminster,,
